#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="NG054",unit_software_part_number="006-B1727-2W",software_version="9.14",system_id="60002CBC443E8",unit="PFD1",airframe_hours="22.9",engine_hours="16.6",engine_cycles="4"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Oil Temp (deg F),Main Fuel Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts M,Volts 2,Amps,Fuel Flow (gal/hour),Elevator Trim,Aux Fuel Qty (gal),CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),CHT5 (deg F),CHT6 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EGT5 (deg F),EGT6 (deg F),MAIN BUS (discrete),ALTERNATOR (discrete),STARTER (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,E1 OilT,FQty1,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Volts2,Amps1,E1 FFlow,PTrim,FQty3,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 CHT5,E1 CHT6,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 EGT5,E1 EGT6,,,,E1 %Pwr,,
2023-08-30,18:57:01,16:57:01,+02:00,+48.1135467,+9.7678719,1941,3D-,320239.0,0.0,,0,0,-0.00,16.2,1.5,7,1977,2144,3,12.8,13,7.20,-0.27,0.000,0.990,187,,,,30.10,,GPS,,EDMZ,12.1,191,190,0.172,+0.14,7595,1.25nm,,,,,Fail / Servo communication fault / 00000001 00000000,,,,,,,,,,,,,-3.6,16.9,2656,,,,081117FF D91 D91,19,00010000,,63,16,0.0,0,0,27.3,0.1,12.4,0,0.0,19,1,64,61,61,61,57,59,59,59,59,63,61,61,1,1,0,0,MAIN BUS / ALTERNATOR,
2023-08-30,18:57:02,16:57:02,+02:00,+48.1135489,+9.7678720,1943,3D,320240.0,0.0,,0,0,0.01,16.2,1.5,7,1977,2144,-1,12.8,13,7.28,-0.25,-0.001,0.993,187,,,,30.10,,GPS,,EDMZ,12.1,191,190,0.172,+0.14,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,16.9,2657,,,,040017FF D98 D98,8,00000000,,63,16,0.0,0,0,27.3,0.1,12.4,0,0.0,19,1,64,61,61,61,57,59,59,59,59,63,61,61,1,1,0,0,MAIN BUS / ALTERNATOR / SET BARO,
2023-08-30,18:57:03,16:57:03,+02:00,+48.1135501,+9.7678716,1944,3D,320241.0,0.0,,0,0,0.00,16.2,1.5,7,1977,2144,4,12.8,13,7.26,-0.24,0.006,0.990,187,,,,30.10,,GPS,,EDMZ,12.1,191,190,0.172,+0.14,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,16.9,2657,,,,040017FF D98 D98,6,00000000,,63,16,0.0,0,0,27.3,0.1,12.4,0,0.0,19,1,64,61,61,61,57,59,59,59,59,63,61,61,1,1,0,0,MAIN BUS / ALTERNATOR / SET BARO,
2023-08-30,18:57:04,16:57:04,+02:00,+48.1135503,+9.7678740,1948,3D,320242.0,0.0,,0,0,0.00,16.2,1.5,7,1977,2144,-4,12.8,13,7.19,-0.26,0.004,0.991,187,,,,30.10,,GPS,,EDMZ,12.1,191,190,0.172,+0.14,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,16.9,2657,,,,040017FF D98 D98,8,00000000,,63,16,0.0,0,0,27.3,0.1,12.4,0,0.0,19,1,64,61,61,61,57,59,59,59,59,63,61,61,1,1,0,0,MAIN BUS / ALTERNATOR / SET BARO,
2023-08-30,18:57:05,16:57:05,+02:00,+48.1135510,+9.7678747,1950,3D,320243.0,0.0,,0,0,0.00,16.2,1.5,7,1977,2144,-1,12.7,13,7.22,-0.24,0.001,0.991,187,,,,30.10,,GPS,,EDMZ,12.1,191,190,0.172,+0.14,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,16.9,2657,,,,040017FF D98 D98,5,00000000,,63,16,0.0,0,0,27.3,0.1,12.4,0,0.0,19,1,64,61,61,61,57,59,59,59,59,63,61,61,1,1,0,0,MAIN BUS / ALTERNATOR / SET BARO,
2023-08-30,18:57:06,16:57:06,+02:00,+48.1135499,+9.7678744,1951,3D,320244.0,0.0,,0,0,0.00,16.2,1.5,7,1977,2144,-5,12.7,13,7.22,-0.25,0.010,0.990,187,,,,30.10,,GPS,,EDMZ,12.1,191,190,0.172,+0.14,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,16.9,2657,,,,040017FF D98 D98,3,00000000,,63,16,0.0,0,0,27.3,0.1,12.4,0,0.0,19,1,64,61,61,61,57,59,59,59,59,63,61,61,1,1,0,0,MAIN BUS / ALTERNATOR / SET BARO,
2023-08-30,18:57:07,16:57:07,+02:00,+48.1135485,+9.7678737,1952,3D,320245.0,0.0,,0,0,0.00,16.2,1.5,7,1977,2144,2,12.7,13,7.22,-0.24,0.004,0.993,187,,,,30.10,,GPS,,EDMZ,12.1,191,190,0.172,+0.14,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,16.9,2657,,,,040017FF D98 D98,3,00000000,,63,16,0.0,0,0,27.3,0.1,12.4,0,0.0,19,1,64,61,61,61,57,59,59,59,59,63,61,61,1,1,0,0,MAIN BUS / ALTERNATOR / SET BARO,
2023-08-30,18:57:08,16:57:08,+02:00,+48.1135474,+9.7678734,1952,3D,320246.0,0.0,,0,0,0.00,16.2,1.5,7,1977,2144,-8,12.8,13,7.16,-0.26,0.007,0.991,187,,,,30.10,,GPS,,EDMZ,12.1,191,190,0.172,+0.14,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,16.9,2657,,,,040017FF D98 D98,3,00000000,,63,16,0.0,0,0,27.3,0.1,12.4,0,0.0,19,1,64,61,61,61,57,59,59,59,59,63,61,61,1,1,0,0,MAIN BUS / ALTERNATOR / SET BARO,
2023-08-30,18:57:09,16:57:09,+02:00,+48.1135468,+9.7678730,1952,3D,320247.0,0.0,,0,0,0.00,16.2,1.5,7,1977,2144,-2,12.8,13,7.19,-0.27,0.003,0.991,187,,,,30.10,,GPS,,EDMZ,12.1,191,190,0.172,+0.14,7595,1.25nm,,,,,Fail,,,,,,,,,,,,,-3.6,16.9,2657,,,,040017FF N1 N1,4,00000000,,63,16,0.0,0,0,27.3,0.1,12.4,0,0.0,19,1,64,61,61,61,57,59,59,59,59,63,61,61,1,1,0,0,MAIN BUS / ALTERNATOR / SET BARO,
