#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="NG054",unit_software_part_number="006-B1727-2W",software_version="9.14",system_id="60002CBC443E8",unit="PFD1",airframe_hours="34.7",engine_hours="25.8",engine_cycles="4"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Main Fuel Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts M,Volts 2,Amps,Fuel Flow (gal/hour),Elevator Trim,Aux Fuel Qty (gal),CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),CHT5 (deg F),CHT6 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EGT5 (deg F),EGT6 (deg F),MAIN BUS (discrete),ALTERNATOR (discrete),STARTER (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Volts2,Amps1,E1 FFlow,PTrim,FQty3,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 CHT5,E1 CHT6,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 EGT5,E1 EGT6,,,,E1 %Pwr,,
2024-03-14,11:24:15,10:24:15,+01:00,+51.6151479,+6.8599671,253,3D- (SFD1),383055.1,0.6,,0,-0,-0.41,,1.2,9,198,207,-6,14.4,14,,,-0.000,0.994,303,,,,29.93,122.705 TX,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,-3.1,15.8,335,,,,081111F8 A42 A42,5,00000000,,,,190,10,0.1,0,0,29.5,12.5,13.7,-7,0.0,1,0,223,270,311,297,295,284,295,331,405,394,399,367,0,1,0,0,ALTERNATOR,
2024-03-14,11:24:15,10:24:15,+01:00,+51.6151533,+6.8599687,249,3D- (SFD1),383055.3,0.6,,0,-0,-0.66,,1.2,9,198,207,-9,14.4,15,,,-0.001,0.995,303,,,,29.93,122.705 TX,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,-3.1,15.8,335,,,,081111F8 A43 A43,3,00000000,,,,190,10,0.1,0,0,29.5,12.5,13.7,-8,0.0,1,0,223,270,311,297,295,284,295,331,405,394,399,367,0,1,0,0,ALTERNATOR,
2024-03-14,11:24:16,10:24:16,+01:00,+51.6151529,+6.8600012,238,3D- (SFD1),383056.2,0.3,,-0,0,-0.36,,1.2,9,198,207,-0,14.4,14,,,-0.002,0.994,303,,,,29.93,122.705,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,-3.1,15.8,336,,,,081111F8 A46 A46,4,00010000,,,,190,10,0.1,0,0,29.5,12.5,13.7,-8,0.0,1,0,223,270,311,297,295,284,295,329,405,394,397,367,0,1,0,0,ALTERNATOR,
2024-03-14,11:24:17,10:24:17,+01:00,+51.6151516,+6.8600038,238,3D- (SFD1),383057.1,0.2,,0,0,-0.29,,1.2,9,198,207,16,14.2,14,,,0.000,0.994,303,,,,29.93,122.705,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,-3.1,15.8,337,,,,081111F8 A49 A49,5,00010000,,,,190,10,0.1,0,0,29.5,12.5,13.8,-7,0.0,1,0,223,270,311,297,295,284,295,329,403,394,397,367,0,1,0,0,ALTERNATOR,
2024-03-14,11:24:18,10:24:18,+01:00,+51.6151527,+6.8600025,238,3D- (SFD1),383058.1,0.3,,0,0,-0.23,,1.2,9,199,208,13,14.4,14,,,0.000,0.994,303,,,,29.93,122.705 RX,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,-3.1,15.8,337,,,,081111F8 A52 A52,3,00010000,,,,190,10,0.1,0,0,29.5,12.5,13.8,-6,0.0,1,0,223,270,311,297,295,284,293,329,403,392,397,367,0,1,0,0,ALTERNATOR,
2024-03-14,11:24:19,10:24:19,+01:00,+51.6151526,+6.8600010,238,3D- (SFD1),383059.1,0.2,,0,0,-0.19,,1.2,8,199,208,10,14.3,14,,,0.001,0.994,303,,,,29.93,122.705 RX,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,-3.1,15.8,338,,,,081111F8 A55 A55,3,00010000,,,,190,10,0.1,0,0,29.5,12.5,13.9,-6,0.0,1,0,223,270,311,297,295,284,293,327,403,392,397,365,0,1,0,0,ALTERNATOR,
2024-03-14,11:24:20,10:24:20,+01:00,+51.6151549,+6.8600003,238,3D- (SFD1),383060.1,0.2,,0,0,-0.15,,1.2,8,199,208,6,14.4,15,,,0.001,0.995,303,,,,29.93,122.705 TX,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,-3.1,15.8,338,,,,081111F8 A58 A58,4,00010000,L+,7000,ALT,190,10,0.1,0,0,29.5,12.5,13.9,-6,0.0,1,0,223,270,311,297,295,284,293,327,403,392,396,365,0,1,0,0,ALTERNATOR,
2024-03-14,11:24:21,10:24:21,+01:00,+51.6151549,+6.8599994,238,3D- (SFD1),383061.1,0.2,,0,0,-0.12,,1.2,8,199,208,5,14.5,14,,,0.002,0.994,303,,,,29.93,122.705 TX,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,-3.1,15.8,338,,,,081111F8 A61 A61,2,00010000,,7000,ALT,190,10,0.1,0,0,29.5,12.5,14.0,-6,0.0,1,0,223,270,311,297,295,284,293,327,401,390,396,365,0,1,0,0,ALTERNATOR,
2024-03-14,11:24:22,10:24:22,+01:00,+51.6151546,+6.8599989,238,3D- (SFD1),383062.1,0.2,,0,0,-0.10,,1.2,8,199,208,8,14.5,15,,,0.000,0.994,303,,,,29.93,122.705 TX,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,-3.1,15.8,339,,,,081111F8 A64 A64,2,00010000,,7000,ALT,190,10,0.1,0,0,29.5,12.5,14.0,-7,0.0,1,0,223,270,311,297,295,284,291,325,401,390,394,365,0,1,0,0,ALTERNATOR,
2024-03-14,11:24:23,10:24:23,+01:00,+51.6151548,+6.8599972,238,3D- (SFD1),383063.1,0.2,,0,0,-0.08,,1.2,8,199,208,0,14.4,15,,,0.000,0.994,303,,,,29.93,122.705 TX,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,-3.1,15.8,339,,,,081111F8 A67 A67,2,00010000,,7000,ALT,190,10,0.1,0,0,29.5,12.5,14.1,-7,0.0,1,0,223,270,311,297,295,284,291,325,401,388,394,363,0,1,0,0,ALTERNATOR,
2024-03-14,11:24:24,10:24:24,+01:00,+51.6151544,+6.8599961,238,3D- (SFD1),383064.1,0.2,,0,0,-0.07,,1.2,9,199,208,-3,14.4,14,,,0.001,0.994,303,,,,29.93,122.705 TX,GPS1,,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,-3.1,15.8,339,,,,081111F8 A70 A70,2,00010000,,7000,ALT,190,10,0.1,0,0,29.5,12.5,14.1,-7,0.0,1,0,223,270,311,297,295,284,291,325,401,388,394,363,0,1,0,0,ALTERNATOR,
