#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="NG054",unit_software_part_number="006-B1727-2W",software_version="9.14",system_id="60002CBC443E8",unit="PFD1",airframe_hours="41.1",engine_hours="30.9",engine_cycles="4"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS PDOP,GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS Status,AHRS Dev (%),Magnetometer Status,Network Status,Transponder Code,Transponder Mode,Oil Temp (deg F),Main Fuel Qty (gal),Fuel Press (PSI),Oil Press (PSI),RPM,Manifold Press (inch Hg),Volts M,Volts 2,Amps,Fuel Flow (gal/hour),Elevator Trim,Aux Fuel Qty (gal),CHT1 (deg F),CHT2 (deg F),CHT3 (deg F),CHT4 (deg F),CHT5 (deg F),CHT6 (deg F),EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EGT5 (deg F),EGT6 (deg F),MAIN BUS (discrete),ALTERNATOR (discrete),STARTER (discrete),Engine Power (%),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,PDOP,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,E1 OilT,FQty1,E1 FPres,E1 OilP,E1 RPM,E1 MAP,Volts1,Volts2,Amps1,E1 FFlow,PTrim,FQty3,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 CHT5,E1 CHT6,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 EGT5,E1 EGT6,,,,E1 %Pwr,,
2024-04-29,18:05:42,16:05:42,+02:00,+48.1139222,+9.7645137,1910,3D- (SFD1),144342.2,0.6,,0,0,-0.23,,2.2,7,1745,1926,9,15.8,17,,,-0.015,0.992,303,,,,30.12,,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,-3.7,23.3,3102,,,,081111F8 A96 A96,4,00010000,,7000,ALT,185,16,0.0,0,0,27.9,13.1,12.5,-3,0.0,2,5,181,217,259,253,250,234,210,230,286,273,286,257,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-04-29,18:05:43,16:05:43,+02:00,+48.1139058,+9.7645266,1917,3D- (SFD1),144343.2,0.6,,-0,0,0.19,,1.4,7,1745,1926,-1,16.3,17,,,-0.015,0.993,303,,,,30.12,,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,-3.7,23.3,3103,,,,081111F8 A99 A99,3,00010000,,7000,ALT,185,16,0.0,0,0,27.9,13.1,12.5,-4,0.0,2,5,181,217,259,253,250,234,210,230,286,273,286,257,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-04-29,18:05:44,16:05:44,+02:00,+48.1138945,+9.7645208,1903,3D- (SFD1),144344.2,0.7,,0,-0,-0.67,36.0,1.4,7,1745,1926,-10,16.4,17,7.13,0.86,-0.014,0.994,303,,,,30.12,,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,-3.7,23.3,3103,,,,081117FF D10 D10,5,00010000,,7000,ALT,185,16,0.2,0,0,27.9,13.0,12.5,-5,0.0,2,5,181,217,259,253,250,234,210,230,286,273,286,257,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-04-29,18:05:45,16:05:45,+02:00,+48.1138961,+9.7645406,1904,3D- (SFD1),144345.3,0.5,,-0,0,-0.21,36.0,1.4,7,1745,1926,-8,16.5,17,7.13,0.86,-0.016,0.992,303,,,,30.12,,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,-3.7,23.3,3103,,,,081117FF D22 D22,5,00010000,,7000,ALT,185,16,0.7,0,0,27.9,13.0,12.5,-5,0.3,2,5,180,217,259,253,250,234,210,230,286,273,286,257,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-04-29,18:05:46,16:05:46,+02:00,+48.1138966,+9.7645606,1906,3D- (SFD1),144346.2,0.9,,0,-1,0.10,36.0,1.4,7,1745,1926,-3,16.5,17,7.13,0.86,-0.016,0.993,303,,,,30.12,,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,-3.7,23.3,3104,,,,081117FF D34 D34,2,00010000,,7000,ALT,185,16,1.0,0,0,27.9,13.0,12.5,-5,1.2,2,5,180,217,259,253,250,234,210,230,286,273,286,257,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-04-29,18:05:47,16:05:47,+02:00,+48.1139190,+9.7645548,1912,3D- (SFD1),144347.2,0.5,,-0,0,-0.18,36.0,1.4,7,1745,1926,0,16.5,17,7.13,0.85,-0.016,0.993,303,,,,30.12,,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,-3.7,23.3,3104,,,,081117FF D46 D46,3,00010000,,7000,ALT,185,16,1.0,0,0,27.9,12.9,12.5,-6,3.1,2,5,180,217,259,253,250,234,210,230,286,271,284,257,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-04-29,18:05:48,16:05:48,+02:00,+48.1139219,+9.7645693,1904,3D- (SFD1),144348.3,0.6,,0,-0,0.15,36.0,1.4,7,1745,1926,-2,16.5,17,7.12,0.86,-0.017,0.994,303,,,,30.12,,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,-3.7,23.3,3105,,,,081117FF D58 D58,2,00010000,,7000,ALT,185,16,1.0,0,0,27.9,12.9,12.5,-6,4.4,2,5,180,216,259,253,250,234,208,230,286,271,284,257,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-04-29,18:05:49,16:05:49,+02:00,+48.1139163,+9.7645614,1905,3D- (SFD1),144349.2,1.1,,-0,0,0.29,36.0,1.4,7,1745,1926,10,16.4,17,7.13,0.84,-0.016,0.992,303,,,,30.12,,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,-3.7,23.3,3105,,,,081117FF D70 D70,5,00010000,,7000,ALT,185,16,0.9,0,0,27.9,12.9,12.5,-6,3.5,2,5,180,216,259,253,250,234,208,230,286,271,284,257,1,1,0,0,MAIN BUS / ALTERNATOR,
2024-04-29,18:05:50,16:05:50,+02:00,+48.1139062,+9.7645954,1905,3D- (SFD1),144350.3,1.0,,-0,0,0.38,36.0,1.4,7,1745,1926,7,16.4,17,7.12,0.87,-0.013,0.993,303,,,,30.12,,GPS1,LOI,,,,,,,,ENR,,,,,PFT,,,,,,,,,,,,,-3.7,23.3,3105,,,,081117FF D82 D82,33,00010000,,7000,ALT,185,16,0.6,0,0,27.9,12.5,12.5,-6,2.7,2,5,180,216,259,253,252,232,208,230,284,271,284,253,1,1,1,0,MAIN BUS / ALTERNATOR / STARTER,
